SALES_YEAR,COUNTRY_OR_TERRITORY,TIRE_SIZE,RIM_SIZE,TOTAL_INDUSTRY_SALES,SOM_OF_SIZES,GOODYEAR_SALES,OTHERS_SALES,SOM_OF_BRAND,BRAND_NAME,DESIGN_NAME,BRAND_TYPE,GOODYEAR_BRAND_SALES,GOODYEAR_PATTERN_SALES,GOODYEAR_PATTERN_RANK_BY_SIZE_BRAND,COMPETITOR_BRAND,COMPETITOR_BRAND_SALES,COMPETITOR_SOM,COMPETITOR_PATTERN,COMPETITOR_PATTERN_SALES,COMPETITOR_PATTERN_RANK_BY_SIZE_BRAND,TOP_5_FITMENTS
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Tourador,156.5136,0.0001153842348,X SPEED TU1,156.5136,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Goform,159.5598,0.0001176299403,GH18,159.5598,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Delinte,185.1919,0.0001365263189,DS2 SUV,185.1919,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Nankang,216.4950,0.000159603446,ROLLNEX SP-9,151.8270,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Nankang,216.4950,0.000159603446,SP-7,64.6680,2,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Anjestar,234.8308,0.00017312088,LANDRIDER DS09,234.8308,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Wanli,263.2430,0.0001940667911,HARMONIC PLUS SP022,249.5319,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Wanli,263.2430,0.0001940667911,HARMONIC PLUS SP022 EV,13.7111,2,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Kapsen,275.2957,0.0002029522271,RS26,275.2957,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Austone,329.0697,0.0002425952475,ATHENA SP-303,329.0697,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Mastercraft,344.6471,0.0002540791465,COURSER HT,344.6471,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Yeada,364.9188,0.0002690237558,YDA226,364.9188,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Charmhoo,365.8604,0.0002697179178,CH01 TOURING,365.8604,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Aplus,417.2842,0.0003076283346,A919,417.2842,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Goodride,436.3925,0.0003217152674,SOLMAX 1,419.1710,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Goodride,436.3925,0.0003217152674,SU318 H/T,17.2215,2,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Ecovision,448.4084,0.0003305735739,VI-786HP,448.4084,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Rotalla,518.6676,0.0003823697374,RS01,518.6676,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Arivo,565.5254,0.0004169140288,ULTRA ARZ4,327.7820,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Arivo,565.5254,0.0004169140288,ULTRA ARZ5,237.7434,2,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Maxtrek,618.7870,0.0004561793,SIERRA S6,618.7870,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Rovelo,818.4882,0.0006034020982,MONTARE HT RV08,818.4882,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Atlas,829.8463,0.0006117754644,A50 BATMAN,729.1619,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Atlas,829.8463,0.0006117754644,WINTER I5,100.6844,2,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Blackhawk,832.3813,0.0006136443054,HISCEND-H HS02,805.8858,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Blackhawk,832.3813,0.0006136443054,SNOW-H HW05,14.1298,2,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Blackhawk,832.3813,0.0006136443054,HISCEND-H HV61,12.3657,3,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Cooper,891.5407,0.0006572575256,CS4 TOURING PLUS,396.3540,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Cooper,891.5407,0.0006572575256,CS4 TOURING,262.9492,2,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Cooper,891.5407,0.0006572575256,DISCOVERER ATT,208.3577,3,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Cooper,891.5407,0.0006572575256,DISCOVERER HTS,23.8798,4,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Annaite,959.7767,0.000707562155,AN616,959.7767,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Primewell,1215.5182,0.0008960987249,PX WINTER500A,1215.5182,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Sailun,1227.8354,0.0009051791543,TURISMO SU59,1227.8354,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
2024-01-01,Mainland China,225/55R18,18,1356455.67421781,0.0875370743,34356.0000,19812.0000,0.03993348329,Cooper,CS4 TOURING PLUS,Others,34356.0000,5018.0000,1,Frztrac,1280.2382,0.000943811305,SPORTRC600 RC6,1280.2382,1,"Jeep Compass, GAC Chuanqi GM8, Buick GL8, Hyundai ix35, Hyundai Tucson"
